"Actionid","nextactiondate","comments","priorityid","result","taskreminderid","bittypeID","Snooze","SnoozeTime","SetReminder","Dismiss","PercentageID","userid","AssignedTo","Complete","PFLearnProgramID","CourseScheduleID","description","ReminderDate","RecurringActionID","Number","SubTaskGroup"
"113","2014-01-30 00:00:00","Security CCTV project:JS wants to give Fidelity an opportunity to make a ""come back"" and has suggested that no decision with regard to the ""award"" of the CCTV tender is made until the end of January.   GT to revert to those companies who have submitted a tender and advise that a decision will not be made until then.   The LRA are no longer on top of their game and now have an old model and old technology.   JS wants the LRA to be in a position to offer the community the best service at a reduced cost.   GT to revert to Michael Lever and to set up a meeting with Fidelity before Christmas.   ","","Follow up meeting scheduled with FSS for Thursday 30th January 2014. Presentation at Fabz on 26th February - Minutes to be circulated to board with copy of presentation on 12th March for decisions and way forward","131","5802","","","0","","30","382","391","No","","","","","","",""
"114","2013-12-20 00:00:00","Environment
Beverley Park:  RS expressed his concern with regard to developing the park without prior consent.   This was agreed by all.   DF proposed that only levelling, removing rubble and simple landscaping would be done to make the park more usable by the local community.   Des Gower, a managing agent, has a contact with a community member who works for Stefannuti Stocks and he will try and arrange for a ""grader"" to be brought in for the purpose of levelling and rubble removal.   ","5871","Community hype around the development of the park - needs to be seen as a total community initiative i.e. Beverley and Lonehill.(JS and KB to action for marketing) 12 Feb: David Foley to revert on discussion with government and negotiations with Des Gower by 12 March.","131","5803","","","0","","20","382","385","No","","","","","","",""
"115","2014-01-08 00:00:00","Clay Oven SP met again with Moses Sigasa from Gracepoint Church and introduced him to Lenti Morison.  The community are committed to moving inside the settlement for the Thursday evening prayer and feeding event with the proviso that the LRA arrange lighting.  SP has arranged with City Power that they will give and install a light pole (no charge).  SP to arrange with adjacent business to provide power and arrange electrical connection.  SP to do site inspection in the new year with Lenti Morison, Tim Makondo (Fidelity) and Moses to determine the position of the lighting.","","SP advised Site Inspection scheduled for 18th Feb and would revert","131","6664","","","0","","26","382","376","No","","","","","","",""
"116","2014-02-07 00:00:00","Traffic Pointsmen: Outsurance Pointsmen  Grant Tyson met with the Traffic Free Flow division of Outsurance.  He will set up a meeting with them next year regarding the requirement in Lonehill.","5870","GT advised assesments being done (12 Feb) GT to feedback 12th March to investigate training our own LRA pointsmen. SP to meet with Crawford School to discuss traffic congestion by 21st Feb","131","5803","","","0","","10","382","391","No","","","","","","",""
"117","2014-04-30 00:00:00","Estate Bakkie.   At the Board Meeting in October SP was tasked to investigate the possibility of giving the Estate Bakkie a facelift and a WOW factor.  SP presented artwork of a possible option in this regard.  To be revisited in the new year.","","","131","5802","","","0","","0","382","393","No","","","","","","",""
"118","2014-01-20 00:00:00","Adoption of Minutes 11 December 2013:
The minutes were adopted and duly signed by John Siddall. However SP to amend the apologies to reflect HMB was on leave and not present at the meeting.
","","","132","6664","","","0","","100","382","376","Yes","","","","","","1",""
"119","2014-01-28 00:00:00","Financial / Administration:
Management Accounts December:  JL presented the Financial Statements as circulated to the Board in the Board Pack by SP.
Net Loss December:  R135 500.
Drop in profit attributed to the additional guarding expenditure and 13th cheques issued to staff for December.
Gross Profit on margin still at 50%.  Current margin of 34% is as a result of the additional guarding expenditure over the December period.
New cost center for the CCTV project has been added to the financials with a R10 000 payment made to the Consultant - Michael Lever
","","","132","6666","","","0","","100","382","393","Yes","","","","","","",""
"120","2014-01-28 00:00:00","Lonehill Magazine for December broke even - advertising covered the publication cost. JS advised that he had received call from Jim Otter (Otter Estates) asking why they had not been approached to advertise in the December publication> JS agreed to give Otter's a first right of refusal for any future advertising requirements","","Follow up meeting with Shelley Miller and JS scheduled for Wednesday 12th March re sponsorship of Fun Run and other.JS to feedback accordingly","132","6666","","","0","","50","382","393","No","","","","","","",""
"121","2014-01-28 00:00:00","EMR - surplus current R6890.00 a month
Hamper Fund Donations - current surplus of R30 453.00.  Follow the same process as 2013 in using the surplus funds to pay for additional guard bonuses throughout the year. To be cleared by the board from time to time
","","New prices and format for pricing been agreed. SP to feedback.","132","6666","","","0","","100","382","393","Yes","","","","","","",""
"122","2014-03-31 00:00:00","Finance: JL mentioned that the subscriber figures reported may be wrong by half due to the problems being associated with the Access / Fusion database transition.  JS requested that by the end of the Financial Year these figures are to be 100% correct.","5870","Done!","132","5803","","","0","","100","382","380","Yes","","","","","","",""
"123","2014-01-15 00:00:00","Financial Director: KT mentioned to the Board that due to time constraints she would only be able to serve as a Director on an oversight basis only and will not be able to attend all meetings, etc.  The Board agreed to this.  ","","","132","6666","","","0","","100","376","393","Yes","","","","","","",""
"124","2014-02-21 00:00:00","Resignation of Manager (Sally Pearson)J S advised the Board of the resignation of Sally Pearson as Manager of the LRA.  JS asked SP to remain on as a Director once she had left her post as Manager.  The Board of Directors need to formally request that SP be co-opted onto the Board as a Director once she has left her position as Manager.","5870","To be discussed at next board meeting scheduled for 12th February 2014","132","5803","","","0","","0","382","393","No","","","","","","",""
"125","2014-01-30 00:00:00","Resignation Sally Pearson>> The community needs to be notified via the e-newsletter of SP's resignation. Completed. 
The job spec, once finalized needs to be advertised in the e-newsletter and on the website.  JS to forward the advertisement to KLB for inclusion into e-newsletter and website
","","Job spec finalised. More than 20 applications received and decision made to employ Avril Kearns-Eatwick with effect from beginning of March 2014","132","6664","","","0","","99","382","382","No","","","","","","",""
"126","2014-01-28 00:00:00","Marketing and Communication:
All Directors to be logged into Fusion to capture a feedback / action trail.
","","","132","6664","","","0","","100","382","382","Yes","","","","","","",""
"127","2014-03-31 00:00:00","Marketing and Communication:
KB - timeframe on the full Marketing Plan?  KB to discuss with GJ and JS to formalize
","","JS discussed with GJ who committed to helping to put marketing plan together - suggest start by beginning February 2014 to be complete by End March 

Additiona info from board minutes from 15th January 2014>>>>
LRA to investigate co-sponsorship of best Verge competition with Pam Golding in 2014","132","6664","","","0","","0","382","384","No","","","","","","",""
"128","2014-01-15 00:00:00","Ian Bell Campout:
The Ian Bell Koppie Campout will now take place on Saturday, 12 April 2014.  It was discussed and agreed that the camp will be open to both moms and dads to camp.  No under 2's allowed to camp. Country Meat is sponsoring 100% of the event.  Entrance Fee R100 adults, R50 children.
","5871","","132","6664","","","0","","0","382","384","No","","","","","","",""
"129","2014-01-31 00:00:00","ENVIROFUND: Mother's Day Jazz Picnic in the Park:  11 May 2014
A firm plan is needed to increase the EMR / EnviroFund subscriber base.  DF has a few ideas which need to be presented to KB.
","5870","DF to meet with Ken Barter by 31 January 2014","132","5803","","","0","","0","382","385","No","","","","","","",""
"130","2014-01-31 00:00:00","GIS Mapping - NF to assist KB/Grant Joyce in obtaining an updated area map of Lonehill, including ERF numbers and physical addresses.","","KB discussed with GJ for further follow up","132","5803","","","0","","0","382","386","No","","","","","","",""
"131","2014-01-20 00:00:00","LRA Marketing Brochure:  SP and KLB still meeting with estate agents, price of R24k still seems to be an issue. JS to forward contact details for a new estate agent in the area to SP.","","JS forwarded contact nos to Sally Pearson for Nicole Halkett-Siddall (new Estate Agent) wanting to operate in Lonehill.
Lonehill Brochure to be ready for printing before end Jan - final visits to be done with other Estate Agencies. This includes commitments to strip ads. = See notes for board meeting 15th January 2014","132","6664","","","0","","0","382","376","No","","","","","","",""
"132","2014-01-31 00:00:00","Lonehill community Signboards: ; NF feedback to the Board on her meeting held with Brian Smith in 2013 and presented his summary presentation on erecting a digital signboard in Lonehill.  After discussions it is the recommendation of the LRA Board to erect 1 x digital signboard in Lonehill, however this needs to take into account the cost, resident reaction and the reaction of other outdoor advertisers wanting to erect signboards in Lonehill in the future.  The current signboards are outdated and need to be upgraded.
NF to meet with Continental Outdoor and Provantage to discuss our requirements, etc.  Proposals to be submitted by both companies for review.
","","NF to feed back accordingly (12 March)","132","6664","","","0","","20","382","386","No","","","","","","",""
"133","2014-01-17 00:00:00","KLB -  BEVERLEY COMMUNITY NOTICE  board to be put up advising motorists of the 40km/h speed limit.
A motor vehicle accident in Beverley destroyed the mirror on the corner of Robert Bruce and Riverside Road which was put up by Tanglewood last year.  DF asked if the LRA would be prepared to fund the R8000 replacement cost.  The Board discussed the matter and it was agreed that there is an opportunity to recover the cost by increasing membership to the EnviroFund, only then would the LRA fund the replacement cost of R8k.
","5869","Various correspondence being sent to either build speed humps and/or institute speed restrictions through JMPD dated 11th March. David Foley to feedback 12 March","132","6664","","","0","","10","382","385","No","","","","","","",""
"134","2014-01-21 00:00:00","CRM System Update:  Training for staff was held in December 2013.  Additional training will resume on Tuesday, 21 January 2014.","5869","Feedback required as to the full acceptance by ALL staff to the new Database and action points as per these board minutes entered in by JS","132","6664","","","0","","0","382","376","No","","","","","","",""
"135","2014-01-24 00:00:00","Security:
Fidelity Contract:  NF felt that in her opinion the current Fidelity Contract was not good for the LRA. 2 sections in the contract contradict each other and various other reasons were presented to the Board.  NF to send a summary through to JS of all the contentious issues in the contract.   
","5869","","132","6664","","","0","","0","382","386","No","","","","","","",""
"136","2014-01-28 00:00:00","CCTV status:  final proposal for the CCTV project are due by the close of business on Monday, 20 January 2014.

Feedback from Fidelity Meeting:  Fidelity did not respond to the last request for proposals on the CCTV project.  All suppliers, including Fidelity have now been asked to refine and resubmit their final proposals for review by the Security Committee.  
GT/RS/Michael Lever have met with Fidelity to discuss the LRA's CCTV requirements and await their proposal.
","5870","Meeting with FSS re-scheduled from 28 January to 30th January 2014","132","5803","","","0","","0","382","391","No","","","","","","",""
"137","2014-01-15 00:00:00","Crime Stats:  DF to source crime stats from other security service providers in the area for the December period. DF noted that no crime was reported in the Beverley area in December by RSS.

RS noted a vast improvement in the level of crime in December 2013 versus the same period last year.  18 incidents were reported in December 2012 versus 7 incidents in December 2013.
SP to send the schedule of SAPS terminology to JS.
Crime stats for Dec 2012/Dec 2013 to be published in the e-newsletter.
The additional resources deployed in Lonehill over the December period will end on 15/01/2014.  HMB proposed that the additional resources employed be extended to the end of January 2014.  Seconded by RS and approved by the Board.  
","","","132","6666","","","0","","100","382","393","Yes","","","","","","",""
"138","2014-01-17 00:00:00","Security: DF volunteered to check on the additional guards deployed during the night - to liaise with RS. Act as observer for additional follow up.","5870","","132","6664","","","0","","80","382","385","No","","","","","","",""
"139","2014-01-23 00:00:00","Medical:
19 events were reported in December
SLA has taken a 6-month lease on the vacant Datagate office.
SLA Ambulance to be on the road and operational by mid-February 2014.
SP to set up a meeting with JS / Logan Pather and SLA to discuss the process going forward.
SP to obtain the 2 incidents reports from Anita on the two serious cases responded to in December.  
","","SP to contact the clients and follow up for inclusion in the newsletter.","132","6664","","","0","","100","382","376","Yes","","","","","","",""
"140","2014-01-24 00:00:00","Environment: 
Mulbarton Park:  Stefanutti Stocks to assess the area and are prepared to do pro-bono work for the park.  Grass at the park site needs to be cut as a matter of urgency - SP to arrange this with Doug as this would need to be outsourced to a 3rd party.  
KB & DF to take Doug Black on a site inspection of the areas in Beverley & Lonehill where grass needs to be cut.  Quotes to obtained and authorized.
","","The grass on Main Road was ommitted from the board minutes but it was agreed that SP would get new quote and this to be approved by JS/board for immediate action too","132","6664","","","0","","100","382","376","Yes","","","","","","",""
"141","2014-01-22 00:00:00","Feedback from Workshop - 30th November 2013
SP to circulate notes as received from JS and GT to all board members and to include action points into agenda for meeting in February 2014
","5869","SP to distribute the notes taken from the Special Meeting to the Board.  
2nd Voter Registration Date:  8 & 9 February 2014.
","132","6664","","","0","","0","382","376","No","","","","","","",""
"142","2014-01-20 00:00:00","Additional Chairman's notes:Action points to be entered into the Database system for action by various (SP 20 Jan)","5869","Completed by John Siddall on 28th January 2014.
SP to report back on the staff involvement and commitment","132","6664","","","0","","69","382","376","No","","","","","","",""
"143","2014-01-15 00:00:00","Additional Chairman's notes: Item 4: SP to schedule marketing meeting for mid-January
Lonehill brochure - SP to follow up with Malcolm Stephens re more 'hard-sell' look for their advertisement.
","","Malcolm Stephens indicated at meeting of 11th December that they wanted to make their ad committed to be more HARD SELL.. (to JS and RS)","132","6664","","","0","","100","376","376","Yes","","","","","","",""
"144","2014-01-31 00:00:00","Item 5: Security
Incident mapping to be completed by RS after receiving details from DF re CPF stats in the area.

Feedback from FSS cctv project and others to be managed and recommendations made by 23 Jan

Minutes of meeting with FSS from 11th December to be sought by Ray Stride from Fidelity - and establish when URGENT feedback meeting?
","5869","","132","6664","","","0","","0","382","389","No","","","","","","",""
"145","2014-03-11 00:00:00","FUSION:  GT is to ensure that all Directors have Fusion loaded onto their laptops as going forward the minutes will be uploaded directly into Fusion and tasks will be allocated accordingly with time-lines","5870","JS and KLB to update Fusion on Monday, 17/02/2014 with the updates made to these minutes.","135","6664","","","0","","40","382","391","No","","","","","","",""
"146","2014-03-11 00:00:00","Incident Mapping:  DF / JS to request more detail on reports issued by the security companies at the CPF meetings.  DF to see what additional information he can get from RSS / Tactical Reaction and ADT.","5870","See notes from previous board meetings on requests for Incident mapping","135","6664","","","0","","10","382","385","No","","","","","","",""
"147","2014-03-11 00:00:00","11 December minutes - Environment

SP has authorized the cutting of the grass on the ""Beverley Park"" ground.  All areas to be cut need to be identified and worked through systematically","5870","SP / DF to make contact with the property owner to advise him of the work the LRA are doing on his piece of land to keep it clean.  SP to notify Des Gower of when the cutting is to begin","135","6664","","","0","","100","382","376","Yes","","","","","","",""
"148","2014-02-28 00:00:00","WIDENING OF WITKOPPEN ROAD: LH to forward the documentation relating to the widening of Witkoppen Road to SP so a file can be opened at the LRA for future reference.","5870","","135","6664","","","0","","0","382","387","No","","","","","","",""
"149","2014-02-21 00:00:00","TRAFFIC CONGESTION (CRAWFORD) SP schedule a meeting with Crawford College to discuss the traffic congestion problem on Lonehill Boulevard in the morning. ","","SP TO REPORT BACK TO MEETING ON 12 MARCH 2014","135","6664","","","0","","0","382","376","No","","","","","","",""
"150","2014-03-11 00:00:00","MANAGEMENT ACCOUNTS January:
JL presented the Management Accounts as circulated in the Board Pack.
R489k budget profit, Year to Date profit of R428k
The decrease is attributed to additional guarding over the December period.  A schedule showing the effect on net profit without the guarding was presented.  The Net Profit for October 2013 - January 2014 has been adjusted for these unusual items.
","5869","JL to change the terminology used in her PowerPoint presentation.
JL to report on Guarding contract numbers
","135","6664","","","0","","0","382","376","No","","","","","","",""
"151","2014-03-28 00:00:00","Management Position Job Applications:
JS, RS & HG are interviewing 8 candidates on 13/02 for the position.  
","5869","From over 20 applications received.. decision made to appoint Avril Kearns -Eastwick","135","6664","","","0","","100","382","382","Yes","","","","","","",""
"152","2014-03-11 00:00:00","MEETING REQUESTS: KLB to send all LRA events to the Board as meeting requests in their Outlook calendars.","5870","","135","6664","","","0","","0","382","379","No","","","","","","",""
"153","2014-03-11 00:00:00","Fidelity Meeting (FEEDBACK):
All interested parties including Fidelity are currently doing a green fields exercise on the CCTV requirements, etc. of the LRA. 3 projects have been identified:
1 - New Security  offering by Fidelity
2 - CCTV offering (24/7; Intelisec; FSS; RSS and JOA)
3 - Fibre to the Home (FTH)
More potential solutions for Lonehill have been identified.  
Fidelity are pulling CCTV into their new service contract to offer an overall solution for Lonehill
","","GT presented the Fibre Optics proposal to the Board.  GT & RS to investigate this further and to present costs to the Board once a full investigation has been done.

FULL PRESENTATION from Fidelity presented to LRA (SP, RS, GT, HMcB and JS) on 26th February - to be re-presented to board on 12 March of findings to date ","135","5803","","","0","","0","382","391","No","","","","","","",""
"154","2014-03-11 00:00:00","CRIME STATS:  
5 x incidents reported in January, down from 8 incidents reported for the same period in 2013.
SAPS / CPF Awareness Campaign to kick-off on 1 March in the corner of Leslie and Witkoppen Roads.  To be followed by Pineslopes and Lonehill.
Additional Guarding:
Fidelity has proposed keeping the additional guards (4 night guards, 2 armed, 2 not armed) and the armed quad bike rider (1 x day; 1 x night) from 13 February - 25 April 2014.  The additional cost for the 3 month period would be R99000.00 (R42k per month) - approved by RS, seconded by JS.
RS & HMB approved the additional expenditure from 5 February - 12 February 2014 at the previous Board Meeting - this cost amounted to R10540.00 for the additional 8 days.
RS has proposed additional guards be employed to cover the election period.  
","","","135","6664","","","0","","0","382","389","No","","","","","","",""
"155","2014-03-11 00:00:00","ADMIN FEE for ROAD CLOSURE collections:
KT has proposed that the LRA charge an admin fee to those road closures in Lonehill where the LRA manages the monthly collections.  This is based on the time Dorica takes to invoice, collect and chase non-payers, short payments, etc.  JS has proposed that this admin fee be billed into their road closure rate.
JS has proposed this be discussed with each Road Closure independently before being implemented.  
","","RS to submit a proposal from Arnheim Circle on what they would be prepared to pay as an admin fee.","135","5803","","","0","","10","382","389","No","","","","","","",""
"156","2014-02-28 00:00:00","MEDICAL (SLA/EMR):  
SLA has proposed a 13% increase of their price to the LRA for 2014.
LRA price increase for 2014 to SLA members is proposed at R6.00 per household and 10% on all other services (schools, churches, business level 1, etc.)
KB to include SLA marketing in the 2014 Marketing Plan.
","5870","SP/JS/JL negotiated rate of 8,5% for SLA with a 50/50% share of increased revenue going forward. SP to summarise for the board. NF to update the contract as requested due to over-promising on certain items","135","6664","","","0","","90","382","376","No","","","","","","",""
"157","2014-08-12 00:00:00","Introduction - Avril Kearns-Eastwick, Manager
JS introduced the new Manager to the Board and welcomed her to the association.
","5872","","136","6666","","","0","","100","382","382","Yes","","","","","","1",""
"158","2014-08-12 00:00:00","Review and adoption of Minutes 12 February 2014:
The Minutes were signed and approved by JS as a true reflection of the meeting.
","5872","","136","6666","","","0","","100","382","382","Yes","","","","","","2",""
"159","2014-08-12 00:00:00","Financial / Administration:
Management Accounts:  KT presented the financials to the Board as circulated in the Board Pack.
Profit is lower in February compared to other months due to the increase in guarding costs over the December 2013/January 2014 period.  Profits are on track for the year.  Year-to-date profit is currently R493k
Guarding - GP of 14% is in line with the budget
JL to forward the financial presentation to SP.
JL noted that the Fidelity Price increase needs to be approved at the Board Meeting to be held on 14 May 2014.  Price increase negotiations with Fidelity need to be complete by 7 May 2014.  Negotiations with Fidelity on the 2014 price increase need to begin as soon as possible.  
The financial audit has been scheduled to start on 1 July 2014. 
","","Audit Complete end July","136","6664","","","0","","100","382","380","Yes","","","","","","3",""
"160","2014-08-12 00:00:00","Bank Fees:  KT to meet with the Manager of Standard Bank to discuss the discounting or dropping of bank fees being charged to the LRA.  KB has sponsorship options - KT to discuss these with him before her meeting.  KT to have meeting within the next 2 weeks","","JS and JL met with the bank, options given need to be reviewed","136","6664","","","0","","20","382","390","No","","","","","","4",""
"161","2014-04-30 00:00:00","VAT De-Registration:  SARS has passed legislation that all Home Owners Associations need to deregister from VAT on 1 April 2014.  If the LRA deregister, income will decrease substantially as the LRA will no longer be able to claim the VAT back from Fidelity.  Rates charged to our subscribers would then need to be increased to cover this deficit.  
After discussions and advice received from NF and various other sources, it is the recommendation by KT that the LRA continue to trade as is.  KT stressed that the LRA would not be in contravention of any laws.  At the time of the board meeting, NF was consulting with Edward Nathan Sonnenberg Attorneys (ENS) who are drafting an application/motivation to submit to SARS.  The quote from PWC to undertake the above was R30k, however NF has negotiated a zero charge from ENS.  
","5870","","136","6664","","","0","","0","382","390","No","","","","","","5",""
"162","2014-04-30 00:00:00","DEREGISTRATION LETTER: KT to obtain a letter from a Managing Agent (Angor/Whitfields) confirming that the LRA need not deregister for VAT.  
LH - legal opinion regarding the new legislation has been sent to the Board for review which concurs with NF's view.
RS - Chief Legal Officer from SARS Pretoria - Leo Du Toit 012 422 5436.  KT & JL to meet with Mr Du Toit to obtain clarity and confirmation of the above.  
","","","136","5803","","","0","","0","382","390","No","","","","","","6",""
"163","2014-03-31 00:00:00","OFF-SITE BACKUP:  GT, through EMC global has obtained a rate of R3.00 per gig per month which equates to a monthly cost of R240.00.  There is an additional cost of R15.00 for the software license.  Data back-up to sit offsite at Global Continuity - it is a fully automated back-up system and will be set-up by EMC.  
Data Recovery Cost:  RS to confirm this cost, if any but is under the assumption that there will be zero cost.  RS to confirm to the Board.
GT/RS to arrange set-up of the system.
RS to obtain a written quote / contract detailing all the costs, etc. and to send this to JS for signature and approval.  ","5870","","136","6664","","","0","","0","382","389","No","","","","","","7",""
"164","2014-08-12 00:00:00","MAINTENANCE EXPENSES:  JL suggested spending some of the profits before the end of the financial year on building maintenance.  
AVK & JL to identify areas that need to be attended to and obtain quotes get invoices in before 31 March 2013 and begin with the work.  Areas identified were:

-	Enlarging & upgrading the LRA kitchen & purchasing a new fridge
-	Applying DPC to the roof 
-	Damp-proofing and painting of the back of the building
-	Additional awnings for the parking area
","","Quotes received and changes made as at 12 August.
Awnings not included in the accepted budget","136","6664","","","0","","100","380","380","Yes","","","","","","8",""
"165","2014-08-12 00:00:00","Review and adoption of the Minutes of 12 March 2014:
The minutes were approved by JS as a true reflection of the meeting.
","5872","","138","6666","","","0","","100","379","382","Yes","","","","","","1",""
"166","2014-04-09 00:00:00","LIMITS OF AUTHORITY; Need clarification of the Limits of Authority by the next Board Meeting. The following notes were copied from the January 2013 Board Minutes:

Limits of Authority document for Capital expenditure:- 
Two limits of authority have been set at the bank:  R10 000.00 requiring 1 x signature and jointly R1 950 000 requiring two signatures.

3 levels need to be identified
All Capex expenditure and forms to be approved and signed off by the Board.  
SP Capex limit set at a maximum expenditure of R20 000.
Between R21 000 & R49 000 SP and HMB approval / signatures required
A policy document relating to the limits of expenditure of SP over R50 000 requiring the signature of both HMB and VJ is required.
","","","136","6665","","","0","","100","380","380","Yes","","","","","","9",""
"167","2014-08-12 00:00:00","Security:
Fidelity Contract:  still awaiting feedback from NF.  The new Fidelity contract is to be based on the revised format.  LH has sent her comments on the contract to JS - attached as ""Addendum A"" to these minutes.
","5870","","138","6664","","","0","","0","379","386","No","","","","","","2",""
"168","2014-04-30 00:00:00","MARKETING AND COMMUNICATIONS
Events Budget 2014:  Objective of each event is to make a profit off the gate takings, balance of the event to be fully sponsored.
KB has put a Contact Report Sheet together for the marketing team to complete after each meeting - KB went through all the details of the sheet.  Contact Forms are to be returned to KB & AKE for filing /storage on the network.  
Fact Sheet:  10 week lead time plan for all events.
Time & Events Schedule:  monitor time process on each event, timelines to be followed.
Shelley Miller to send feedback to KB / SP on her meeting with Country Meat regarding the Koppie Camp on 12 April.  
","5872","","136","6666","","","0","","100","382","384","Yes","","","","","","10",""
"169","2014-08-12 00:00:00","Price increase from Fidelity:  AKE had a meeting with Malcolm Stephens earlier on in the day.  Malcom advised that Whal Bartmann is proposing an 8.5% increase and has suggested that the LRA increase their rates by 9.5% to subscribers.
Fidelity needs to present their proposed price increase, including all supporting documents to the LRA.  The 8,5% proposed needs to be justified.   HMB noted that the LRA should not entertain anything above current CPI. A negotiating team needs to be established to listen to Fidelities proposition and to negotiate accordingly.  
A decision on the price increase needs to be made at the next Board Meeting.  Price negotiations needs to be made within the next month.
Notification to subscribers on the price increase to take place by 15th May, for the price increase to be effective on 01 July 2014 (in June, with the price increase effective 01 July 2014.)
AKE to schedule a meeting with Fidelity where they are to present their costings.  Meeting to take place at the LRA. The following to be included in the meeting:  JL/AKE/JS/HMB/GT 
Two options to be presented by Fidelity:
Option 1:  without CCTV cameras
Option 2:  with CCTV cameras
","","","138","6664","","","0","","100","379","394","Yes","","","","","","3",""
"170","2014-03-17 00:00:00","Marketing Brochure:  SP to start hard-sell canvassing with JS","5870","","136","6664","","","0","","20","382","394","No","","","","","","11",""
"171","2014-08-12 00:00:00","Review and adoption of Minutes of 9 April 2014:
The Chairman, JS signed and approved the minutes as an accurate recording of the previous Board Meeting.
","5872","","139","6666","","","0","","100","378","382","Yes","","","","","","1",""
