"LookupID","Class","Value","IsAllDiv","TempID","Colour","info","value2","Hierarchy","IsDefault"
"6400","City","Cresta","0","","","","","","0"
"6401","City","Crystal Park","0","","","","","","0"
"6402","City","Dainfern","0","","","","","","0"
"6403","City","Douglasdale","0","","","","","","0"
"6404","City","Dowerglen","0","","","","","","0"
"6405","City","Dunswart","0","","","","","","0"
"6406","City","East Rand","0","","","","","","0"
"6407","City","Edenglen","0","","","","","","0"
"6408","City","Edenvale","0","","","","","","0"
"6409","City","Eppindust","0","","","","","","0"
"6410","City","Fairland","0","","","","","","0"
"6411","City","Ferndale","0","","","","","","0"
"6412","City","Florida","0","","","","","","0"
"6413","City","Fontainbleau","0","","","","","","0"
"6414","City","Fontainblue","0","","","","","","0"
"6415","City","Fontainebleau","0","","","","","","0"
"6416","City","Fourwarys East","0","","","","","","0"
"6417","City","Fourways","0","","","","","","0"
"6418","City","Fourways Crossing","0","","","","","","0"
"6419","City","Fourways Crossing 2055","0","","","","","","0"
"6420","City","Fourways East","0","","","","","","0"
"6421","City","Fourways North","0","","","","","","0"
"6422","City","Gallo Manor","0","","","","","","0"
"6423","City","Germiston","0","","","","","","0"
"6424","City","Grant Park","0","","","","","","0"
"6425","City","Greenside","0","","","","","","0"
"6426","City","Halfway House","0","","","","","","0"
"6427","City","Highlands North","0","","","","","","0"
"6428","City","Highveld","0","","","","","","0"
"6429","City","Hlafway House","0","","","","","","0"
"6430","City","Hoewis","0","","","","","","0"
"6431","City","Honeydew","0","","","","","","0"
"6432","City","Houghton","0","","","","","","0"
"6433","City","Hyde Park","0","","","","","","0"
"6434","City","Industria","0","","","","","","0"
"6435","City","Jacobs","0","","","","","","0"
"6436","City","Jeppestown","0","","","","","","0"
"6437","City","Johannesburg","0","","","","","","0"
"6438","City","Jukskei","0","","","","","","0"
"6439","City","Jukskei Park","0","","","","","","0"
"6440","City","Jukskeipark","0","","","","","","0"
"6441","City","Juskeipark","0","","","","","","0"
"6442","City","Kelvin","0","","","","","","0"
"6443","City","Kloof","0","","","","","","0"
"6444","City","Knysna","0","","","","","","0"
"6445","City","Krammerview","0","","","","","","0"
"6446","City","Krugersdorp","0","","","","","","0"
"6447","City","Kyalami","0","","","","","","0"
"6448","City","Kyalami Estate","0","","","","","","0"
"6449","City","La Montagne","0","","","","","","0"
"6450","City","Lanseria","0","","","","","","0"
"6451","City","Lonehil","0","","","","","","0"
"6452","City","Lonehill","0","","","","","","0"
"6453","City","Lonehill Upper East","0","","","","","","0"
"6454","City","Lonehille","0","","","","","","0"
"6455","City","Lyndhurst","0","","","","","","0"
"6456","City","Lynnwood Ridge","0","","","","","","0"
"6457","City","Magalies View","0","","","","","","0"
"6458","City","Magaliesig","0","","","","","","0"
"6459","City","Magaliessig","0","","","","","","0"
"6460","City","Magaliesview","0","","","","","","0"
"6461","City","Magalissig","0","","","","","","0"
"6462","City","Magalliessig","0","","","","","","0"
"6463","City","Maglaliesview","0","","","","","","0"
"6464","City","Magliessig","0","","","","","","0"
"6465","City","Marshall Town","0","","","","","","0"
"6466","City","Melrose Arch","0","","","","","","0"
"6467","City","Melville","0","","","","","","0"
"6468","City","Midrand","0","","","","","","0"
"6469","City","Moreletarif","0","","","","","","0"
"6470","City","Morningside","0","","","","","","0"
"6471","City","Newclare","0","","","","","","0"
"6472","City","North Riding","0","","","","","","0"
"6473","City","Northcliff","0","","","","","","0"
"6474","City","Northcliffe","0","","","","","","0"
"6475","City","Northclifff","0","","","","","","0"
"6476","City","Northlands","0","","","","","","0"
"6477","City","Northriding","0","","","","","","0"
"6478","City","Olivedale","0","","","","","","0"
"6479","City","Parklands","0","","","","","","0"
"6480","City","Paulshof","0","","","","","","0"
"6481","City","Peterbale","0","","","","","","0"
"6482","City","Petervale","0","","","","","","0"
"6483","City","Pinegowrie","0","","","","","","0"
"6484","City","Raedene","0","","","","","","0"
"6485","City","Randburg","0","","","","","","0"
"6486","City","Randpark Ridge","0","","","","","","0"
"6487","City","Randparkridge","0","","","","","","0"
"6488","City","Ri vonia","0","","","","","","0"
"6489","City","Rionia","0","","","","","","0"
"6490","City","River Club","0","","","","","","0"
"6491","City","Riverclub","0","","","","","","0"
"6492","City","Rivonia","0","","","","","","0"
"6493","City","Rooihuiskraal","0","","","","","","0"
"6494","City","Roosevelt Park","0","","","","","","0"
"6495","City","Sandton","0","","","","","","0"
"6496","City","Sandton City","0","","","","","","0"
"6497","City","Santon","0","","","","","","0"
"6498","City","Saxonwold","0","","","","","","0"
"6499","City","Senderwood","0","","","","","","0"
"6500","City","Slaone Park","0","","","","","","0"
"6501","City","Sloan Park","0","","","","","","0"
"6502","City","Sloane Park","0","","","","","","0"
"6503","City","Southdale","0","","","","","","0"
"6504","City","Strathavon","0","","","","","","0"
"6505","City","Strubens Valley","0","","","","","","0"
"6506","City","Sundowner","0","","","","","","0"
"6507","City","Sunninghill","0","","","","","","0"
"6508","City","Vorna Valley","0","","","","","","0"
"6509","City","Walmer","0","","","","","","0"
"6510","City","Waterkloof","0","","","","","","0"
"6511","City","Wendywood","0","","","","","","0"
"6512","City","Wierda Park","0","","","","","","0"
"6513","City","Winston","0","","","","","","0"
"6514","City","Witkoppen","0","","","","","","0"
"6515","City","Witkoppn","0","","","","","","0"
"6516","City","Wits","0","","","","","","0"
"6517","City","Wolmaransstad","0","","","","","","0"
"6518","City","Woodmead","0","","","","","","0"
"6519","Code","0","0","","","","","","0"
"6520","Code","0014","0","","","","","","0"
"6521","Code","0044","0","","","","","","0"
"6522","Code","0046","0","","","","","","0"
"6523","Code","0149","0","","","","","","0"
"6524","Code","0163","0","","","","","","0"
"6525","Code","0164","0","","","","","","0"
"6526","Code","1400","0","","","","","","0"
"6527","Code","1410","0","","","","","","0"
"6528","Code","145","0","","","","","","0"
"6529","Code","1450","0","","","","","","0"
"6530","Code","1454","0","","","","","","0"
"6531","Code","1462","0","","","","","","0"
"6532","Code","1477","0","","","","","","0"
"6533","Code","149","0","","","","","","0"
"6534","Code","1501","0","","","","","","0"
"6535","Code","1508","0","","","","","","0"
"6536","Code","1610","0","","","","","","0"
"6537","Code","1612","0","","","","","","0"
"6538","Code","1613","0","","","","","","0"
"6539","Code","1681","0","","","","","","0"
"6540","Code","1684","0","","","","","","0"
"6541","Code","1685","0","","","","","","0"
"6542","Code","1686","0","","","","","","0"
"6543","Code","1710","0","","","","","","0"
"6544","Code","1735","0","","","","","","0"
"6545","Code","1740","0","","","","","","0"
"6546","Code","1748","0","","","","","","0"
"6547","Code","184","0","","","","","","0"
"6548","Code","2000","0","","","","","","0"
"6549","Code","2008","0","","","","","","0"
"6550","Code","2010","0","","","","","","0"
"6551","Code","2012","0","","","","","","0"
"6552","Code","2017","0","","","","","","0"
"6553","Code","2018","0","","","","","","0"
"6554","Code","2021","0","","","","","","0"
"6555","Code","2024","0","","","","","","0"
"6556","Code","2030","0","","","","","","0"
"6557","Code","2031","0","","","","","","0"
"6558","Code","2032","0","","","","","","0"
"6559","Code","2034","0","","","","","","0"
"6560","Code","2037","0","","","","","","0"
"6561","Code","2040","0","","","","","","0"
"6562","Code","2041","0","","","","","","0"
"6563","Code","2042","0","","","","","","0"
"6564","Code","2043","0","","","","","","0"
"6565","Code","2050","0","","","","","","0"
"6566","Code","2051","0","","","","","","0"
"6567","Code","2052","0","","","","","","0"
"6568","Code","2054","0","","","","","","0"
"6569","Code","2055","0","","","","","","0"
"6570","Code","2056","0","","","","","","0"
"6571","Code","2057","0","","","","","","0"
"6572","Code","2060","0","","","","","","0"
"6573","Code","2061","0","","","","","","0"
"6574","Code","2062","0","","","","","","0"
"6575","Code","2063","0","","","","","","0"
"6576","Code","2064","0","","","","","","0"
"6577","Code","2066","0","","","","","","0"
"6578","Code","2067","0","","","","","","0"
"6579","Code","2068","0","","","","","","0"
"6580","Code","2074","0","","","","","","0"
"6581","Code","2076","0","","","","","","0"
"6582","Code","2086","0","","","","","","0"
"6583","Code","2093","0","","","","","","0"
"6584","Code","2106","0","","","","","","0"
"6585","Code","2107","0","","","","","","0"
"6586","Code","2109","0","","","","","","0"
"6587","Code","2115","0","","","","","","0"
"6588","Code","2116","0","","","","","","0"
"6589","Code","2118","0","","","","","","0"
"6590","Code","2121","0","","","","","","0"
"6591","Code","2123","0","","","","","","0"
"6592","Code","2124","0","","","","","","0"
"6593","Code","2125","0","","","","","","0"
"6594","Code","2128","0","","","","","","0"
"6595","Code","2129","0","","","","","","0"
"6596","Code","2132","0","","","","","","0"
"6597","Code","2135","0","","","","","","0"
"6598","Code","2140","0","","","","","","0"
"6599","Code","2144","0","","","","","","0"
"6600","Code","2145","0","","","","","","0"
"6601","Code","2146","0","","","","","","0"
"6602","Code","2149","0","","","","","","0"
"6603","Code","2151","0","","","","","","0"
"6604","Code","2152","0","","","","","","0"
"6605","Code","2153","0","","","","","","0"
"6606","Code","2154","0","","","","","","0"
"6607","Code","2156","0","","","","","","0"
"6608","Code","2157","0","","","","","","0"
"6609","Code","2158","0","","","","","","0"
"6610","Code","2159","0","","","","","","0"
"6611","Code","2160","0","","","","","","0"
"6612","Code","2161","0","","","","","","0"
"6613","Code","2162","0","","","","","","0"
"6614","Code","2165","0","","","","","","0"
"6615","Code","2167","0","","","","","","0"
"6616","Code","2169","0","","","","","","0"
"6617","Code","2191","0","","","","","","0"
"6618","Code","2192","0","","","","","","0"
"6619","Code","2555","0","","","","","","0"
"6620","Code","2630","0","","","","","","0"
"6621","Code","3640","0","","","","","","0"
"6622","Code","4026","0","","","","","","0"
"6623","Code","46","0","","","","","","0"
"6624","Code","6070","0","","","","","","0"
"6625","Code","6570","0","","","","","","0"
"6626","Code","7475","0","","","","","","0"
"6627","Code","Postal Code","0","","","","","","0"
"6628","resourcelocation","Lonehill","0","","","","","","0"
"6631","type","No","1","","-2147483640","","","","0"
"6632","abc","Complete","1","","","","","","0"
"6633","jobtitle","Tenant","0","","","","","","0"
"6634","ticketseverity","High","0","","","","","","0"
"6635","ticketseverity","Medium","0","","","","","","0"
"6636","ticketseverity","Low","0","","","","","","0"
"6637","group","EMR COMPLEX","1","","","","","","0"
"6638","group","Environment","1","","","","","","0"
"6640","calllog call type","Sales","0","","","","","","0"
"6641","calllog call type","BookingsTechnical ","0","","","","","","0"
"6642","calllog call type","Enquiry Accounts ","0","","","","","","0"
"6643","calllog call type","Enquiry Advertising","0","","","","","","0"
"6644","calllog call type","Enquiry General","0","","","","","","0"
"6645","calllog call type","Enquiry Municipal Electrical","0","","","","","","0"
"6646","calllog call type","Enquiry Environmental","0","","","","","","0"
"6647","jobtitle","Body Corporate - Chair Person","0","","","","","","0"
"6648","jobtitle","Body Corporate - Managing Agent","0","","","","","","0"
"6649","buscat","Residents Association","1","","","","","","0"
"6651","buscat","Body Corporate","1","","","","","","0"
"6652","abc","Cancelled","1","","","","","","0"
"6653","jobtitle","Keyholder","0","","","","","","0"
"6655","jobtitle","Home Owners Association","0","","","","","","0"
"6656","Documenttype","Complaint","0","","","","","","0"
"6657","calllog contact method","e-Mail","0","","","","","","0"
"6658","calllog call type","Complaint Security","0","","","","","","0"
"6659","jobtitle","Home Owners Association - Chair Person","0","","","","","","0"
"6660","jobtitle","Body Corporate","0","","","","","","0"
"6662","calllog call type","Complaint Other","0","","","","","","0"
"6663","abc","Not LRA Customer","1","","","","","","0"
"6664","bittype","Action","0","","","","","","0"
"6665","bittype","Information Request","0","","","","","","0"
"6666","bittype","Just For Information","0","","","","","","0"
"6668","jobtitle","Rental Agent","0","","","","","","0"
"6670","jobtitle","Do Not Know","0","","","","","","0"
"6671","notetype","SMS","0","","","","","","0"
"6672","notetype","Whatsapp","0","","","","","","0"
"6673","type","Do not know","1","","-2147483640","","","","0"
"6674","group","Complex Alarm Monitoring","1","","","","","","0"
"6675","group","Complex Panic","1","","","","","","0"
"6676","group","Complex Panic (EMR)","1","","","","","","0"
"6677","group","Complex Panic Mimic","1","","","","","","0"
"6678","group","Complex Phone In","1","","","","","","0"
"6679","group","Complex Reaction","1","","","","","","0"
"6680","group","Complex/ Office Alarm monitoring","1","","","","","","0"
"6681","group","Fence","1","","","","","","0"
"6682","group","Fence (two radios)","1","","","","","","0"
"6683","group","Guarding","1","","","","","","0"
"6684","group","Road Closure  Alarm monitoring","1","","","","","","0"
"6685","group","Road Closure 36 Month","1","","","","","","0"
"6686","group","Road Closure Fence","1","","","","","","0"
"6687","group","Road Closure Panic monitoring","1","","","","","","0"
"6688","group","Road Closure Phone-in","1","","","","","","0"
"6689","group","Shop/Office Alarm Monitoring","1","","","","","","0"
"6690","group","Shop/Office Panic monitoring","1","","","","","","0"
"6691","group","Stand Alone Alarm Monitoring","1","","","","","","0"
"6692","group","Stand Alone Panic Response","1","","","","","","0"
"6693","group","Stand Alone Phone-in Service","1","","","","","","0"
"6694","buscat","Import-2014-04-30","1","","","","","","0"
"6695","jobtitle","Security Trustee","0","","","","","","0"
"6696","jobtitle","Body Corporate Security","0","","","","","","0"
"6697","jobtitle","Portfolio Manager","0","","","","","","0"
"6698","calllog call type","Enquiry Municipal Water","0","","","","","","0"
"6699","Documenttype","Marketing","0","","","","","","0"
"6700","documentsubtype","JHB Water","0","6656","","","","","0"
"6701","documentsubtype","City Power","0","6656","","","","","0"
"6702","documentsubtype","City Parks","0","6656","","","","","0"
"6703","documentsubtype","JMPD","0","6656","","","","","0"
"6704","documentsubtype","JRA","0","6656","","","","","0"
"6705","documentsubtype","CV","0","5831","","","","","0"
"6707","TicketType","Low Battery Signal","0","","","","","","0"
"6708","TicketType","Quote","0","","","","","","0"
"6709","Documenttype","Correspondence","0","","","","","","0"
"6710","Documenttype","Staff","0","","","","","","0"
"6711","Documenttype","Security","0","","","","","","0"
"6712","Documenttype","Query","0","","","","","","0"
"6713","Documenttype","Quotes","0","","","","","","0"
"6714","buscat","Non stake Holder","1","","","","","","0"
"6715","abc","suspended","1","","","","","","0"
"6716","group","LRA Voting Member","1","","","","","","0"
"6717","category","Home Owners Association","1","","","","","","0"
"6718","category","Son In Law","1","","","","","","0"
"6719","category","Emergency Contact ","1","","","","","","0"
"6720","category","Jhb (Region A)","1","","","","","","0"
"6721","category","Region E","1","","","","","","0"
"6722","category","Traffic Lights u/s","1","","","","","","0"
"6723","category","Street signs/painting","1","","","","","","0"
"6724","category","In-Laws","1","","","","","","0"
"6725","category","Body Corporate Security","1","","","","","","0"
"6726","category","Administrative Contact","1","","","","","","0"
"6727","category","Business Owner","1","","","","","","0"
"6728","category","Mtn Fibre","1","","","","","","0"
"6729","category","Head Security","1","","","","","","0"
"6730","category","Child","1","","","","","","0"
"6731","category","Business Manager","1","","","","","","0"
"6732","category","Body Corporate - Vice Chairman","1","","","","","","0"
"6733","category","Inspector Reg A","1","","","","","","0"
"6734","category","Portfolio Manager","1","","","","","","0"
"6735","category","CHIEF TRAFFIC ENGINEER","1","","","","","","0"
"6736","category","Home Owner","1","","","","","","0"
"6737","category","Grass Cutter","1","","","","","","0"
"6738","category","MD'S OFFICE","1","","","","","","0"
"6739","category","Ward 94 Issues","1","","","","","","0"
"6740","category","Father","1","","","","","","0"
"6741","category","TSS SECURITY - DIRECTOR","1","","","","","","0"
"6742","category","EMR","1","","","","","","0"
"6743","category","Other","1","","","","","","0"
"6744","category","Illegal Signs and Posters","1","","","","","","0"
"6745","category","Supervisor Trees","1","","","","","","0"
"6746","category","Step Dad","1","","","","","","0"
"6747","category","Security Trustee","1","","","","","","0"
"6748","category","Manager Maintenance","1","","","","","","0"
"6749","category","","1","","","","","","0"
"6750","category","Director HOA","1","","","","","","0"
"6751","category","Chief Traffice Engineer","1","","","","","","0"
"6752","category","Gardener","1","","","","","","0"
"6753","category","Rental Agent","1","","","","","","0"
"6754","category","PROJECTS COORDINATOR","1","","","","","","0"
"6755","category","OPS MANAGER (WATER)","1","","","","","","0"
"6756","category","General Reporting Office","1","","","","","","0"
"6757","category","Body Corporate - Managing Agent","1","","","","","","0"
