"IntakeDispatchID","DocID","DocType","DocNo","DateCreated","UserID","Status","Supplier","Client","Transfers","Manufacturing","TotalUnits","CompFrom","CompTo"
"164","2690","Sales Order","1","2011-09-22 12:44:28","1","","","Demo Company","1","1","100.0","Container A","Demo Company"
"165","2690","Sales Order","1","2011-09-22 12:44:28","1","","","Demo Company","1","1","200.0","Container A","Demo Company"
"166","2690","Sales Order","1","2011-09-22 12:44:28","1","","","Demo Company","1","1","300.0","Container A","Demo Company"
"167","2690","Sales Order","1","2011-09-22 12:44:28","1","","","Demo Company","1","1","1.0","Container A","Demo Company"
"168","342","Purchase Order","1","2011-09-22 13:49:14","1","","","Demo Supplier","1","1","0.1","Demo Supplier","Demo Company"
"169","342","Purchase Order","1","2011-09-22 13:49:14","1","","","Demo Supplier","1","1","0.2","Demo Supplier","Demo Company"
"170","342","Purchase Order","1","2011-09-22 13:49:14","1","","","Demo Supplier","1","1","0.3","Demo Supplier","Demo Company"
"171","342","Purchase Order","1","2011-09-22 13:49:14","1","","","Demo Supplier","1","1","0.001","Demo Supplier","Demo Company"
"172","2698","Sales Order","0","2011-10-21 16:43:16","1","","","Ackerman Mr R","1","1","1.0","Bin No. 1              ","Ackerman Mr R"
"173","2727","Sales Order","2","2011-11-02 12:35:45","1","","","TEST","1","1","10.0","Container A","TEST"
"174","362","Purchase Order","0","2011-12-05 11:48:59","1","","","Another Supplier","1","1","10.0","Another Supplier",""
"175","362","Purchase Order","0","2011-12-05 11:48:59","1","","","Another Supplier","1","1","10.0","Another Supplier",""
"176","362","Purchase Order","0","2011-12-05 11:48:59","1","","","Another Supplier","1","1","10.0","Another Supplier",""
"177","366","Purchase Order","2","2011-12-14 17:11:38","1","","","ALTECH -SUPERCALL","1","1","1.0","ALTECH -SUPERCALL","Ackerman Mr R"
"178","2764","Sales Order","3","2011-12-19 11:30:07","1","","","Louise Test","1","1","2.0","Div3 Container","Louise Test"
"179","2790","Sales Order","3","2012-02-09 16:44:55","1","","","Demo Company","1","1","1.0","Div3 Container","Demo Company"
"180","386","Purchase Order","3","2012-02-09 15:08:39","1","","","Demo Supplier","1","1","1.0","Demo Supplier",""
"181","2799","Quote","1","2012-02-15 17:35:30","1","","","Demo Company","1","1","1.0","Container A","Demo Company"
"182","404","Purchase Order","0","2012-02-22 12:14:21","1","","","Demo Supplier","1","1","10.0","Demo Supplier",""
"183","404","Purchase Order","0","2012-02-22 12:14:21","1","","","Demo Supplier","1","1","25.0","Demo Supplier",""
"184","2809","Sales Order","1","2012-02-23 11:07:43","1","","","Demo Company","1","1","1.0","Container A","Demo Company"
"185","2809","Sales Order","1","2012-02-23 11:07:43","1","","","Demo Company","1","1","1.0","Container A","Demo Company"
"186","2809","Sales Order","1","2012-02-23 11:07:43","1","","","Demo Company","1","1","1.0","Container A","Demo Company"
"187","409","Purchase Order","1","2012-03-01 10:23:07","1","","","ACCOUNTABILITY","1","1","100.0","ACCOUNTABILITY",""
"188","409","Purchase Order","1","2012-03-01 10:23:07","1","","","ACCOUNTABILITY","1","1","50.0","ACCOUNTABILITY",""
"189","2828","Sales Order","3","2012-03-20 15:35:16","1","","","ACME","1","1","1.0","Container A","ACME"
"190","2837","Quote","3","2012-03-30 15:49:25","1","","","George Company","1","1","1.0","Container A","George Company"
