"CustomCtrlID","CtrlFormName","CtrlName","CtrlType","CtrlCaption","CtrlTabOrderIndex","IsRequired","DependantOnControl","DependantOnContents","IsHidden","ProfileID"
"266","frmSupplierDetails","cmdCType","OfficeXPButton","","194","0","","","1",""
"267","frmSupplierDetails","cboType","ComboBox","","8","0","","","1",""
"268","frmSupplierDetails","lblABC","Label","ABC Field","","0","","","1",""
"269","frmSupplierDetails","cmdCAbc","OfficeXPButton","","195","0","","","1",""
"270","frmSupplierDetails","cboABC","ComboBox","","9","0","","","1",""
"271","frmSupplierDetails","lblCategory","Label","Category","","0","","","1",""
"272","frmSupplierDetails","cmdCCat","OfficeXPButton","","196","0","","","1",""
"273","frmSupplierDetails","cboCat","ComboBox","","10","0","","","1",""
"274","frmSupplierDetails","tabFrame","WhiteTab2","","","0","","","0",""
"275","frmContactMan","lblAdition1","Label","Addition 1","","0","","","1",""
"276","frmContactMan","txtAdditional1","TextBox","","40","0","","","1",""
"277","frmContactMan","lblAddition5","Label","Addition 5","","0","","","1",""
"278","frmContactMan","cboAdditional5","ComboBox","","44","0","","","1",""
"279","frmContactMan","lbladditional2","Label","Addition 2","","0","","","1",""
"280","frmContactMan","txtAddition2","TextBox","","41","0","","","1",""
"281","frmContactMan","lblAddition6","Label","Addition 6","","0","","","1",""
"282","frmContactMan","cboAdditional6","ComboBox","","45","0","","","1",""
"283","frmContactMan","lbladdition3","Label","Addition 3","","0","","","1",""
"284","frmContactMan","txtAddition3","TextBox","","42","0","","","1",""
"285","frmContactMan","lblAddition7","Label","Addition 7","","0","","","1",""
"286","frmContactMan","cboAdditional7","ComboBox","","46","0","","","1",""
"287","frmContactMan","lblAddition4","Label","Addition 4","","0","","","1",""
"288","frmContactMan","txtAddition4","TextBox","","43","0","","","1",""
"289","frmContactMan","lblAddition8","Label","Addition 8","","0","","","1",""
"290","frmContactMan","cboAdditional8","ComboBox","","47","0","","","1",""
"291","frmContactDetails","Label33","Label","Property","","0","","","0",""
"292","frmContactDetails","cmdCJobTitle","OfficeXPButton","","6","0","","","0",""
"293","frmContactDetails","cmdCbuscat","OfficeXPButton","","12","0","","","0",""
"294","frmContactDetails","cmdCType","OfficeXPButton","","14","0","","","0",""
"295","frmContactDetails","cmdCsubType","OfficeXPButton","","16","0","","","0",""
"296","frmContactDetails","cmdCAbc","OfficeXPButton","","18","0","","","0",""
"297","frmContactDetails","Label25","Label","Title","","0","","","0",""
"298","frmContactDetails","lblAdition1","Label","Addition 1","","0","","","1",""
"299","frmContactDetails","lbladditional2","Label","Addition 2","","0","","","1",""
"300","frmContactDetails","lbladdition3","Label","Addition 3","","0","","","1",""
"301","frmContactDetails","lblAddition4","Label","Addition 4","","0","","","1",""
"302","frmContactDetails","lblAddition5","Label","Addition 5","","0","","","1",""
"303","frmContactDetails","lblAddition6","Label","Addition 6","","0","","","1",""
"304","frmContactDetails","lblAddition7","Label","Addition 7","","0","","","1",""
"305","frmContactDetails","lblAddition8","Label","Addition 8","","0","","","1",""
"306","frmContactDetails","txtAdditional1","TextBox","","30","0","","","1",""
"307","frmContactDetails","txtAddition2","TextBox","","31","0","","","1",""
"308","frmContactDetails","txtAddition3","TextBox","","32","0","","","1",""
"309","frmContactDetails","txtAddition4","TextBox","","33","0","","","1",""
"310","frmContactDetails","cboAdditional5","ComboBox","","34","0","","","1",""
"311","frmContactDetails","cboAdditional6","ComboBox","","35","0","","","1",""
"312","frmContactDetails","cboAdditional8","ComboBox","","37","0","","","1",""
"313","frmEntityDetails","cmdIndustry","OfficeXPButton","","20","0","","","1",""
"314","frmEntityDetails","Label14","Label","Sub type ","","0","","","1",""
"315","frmEntityDetails","cmdCAbc","OfficeXPButton","","16","0","","","0",""
"316","frmEntityDetails","Cbosubtype","ComboBox","","15","0","","","1",""
"317","frmEntityDetails","cmdCsubType","OfficeXPButton","","14","0","","","1",""
